Chronologic VCS simulator copyright 1991-2012
Contains Synopsys proprietary information.
Compiler version F-2011.12-SP1; Runtime version F-2011.12-SP1;  Sep 28 22:53 2014
***********
Set Up 8253
***********
************
Test Timer 0
************
                1510: OUT - xx1
            32773000: OUT - xx0
            65541000: OUT - xx1
            98309000: OUT - xx0
           131077000: OUT - xx1
************
Test Timer 1
************
           131077510: OUT - x11
           131098000: OUT - x01
           131099000: OUT - x11
           131116000: OUT - x01
           131117000: OUT - x11
           131134000: OUT - x01
           131135000: OUT - x11
*****************
Test Timer 2 Gate
*****************
           137057000: OUT - 111
           137074000: OUT - 101
           137075000: OUT - 111
           137092000: OUT - 101
           137093000: OUT - 111
           137110000: OUT - 101
           137111000: OUT - 111
           137128000: OUT - 101
           137129000: OUT - 111
           137134000: OUT - 011
           137146000: OUT - 001
           137147000: OUT - 011
           137164000: OUT - 001
           137165000: OUT - 011
           137182000: OUT - 001
           137183000: OUT - 011
           137200000: OUT - 001
           137201000: OUT - 011
           137218000: OUT - 001
           137219000: OUT - 011
           137236000: OUT - 001
           137237000: OUT - 011
           137254000: OUT - 001
           137255000: OUT - 011
           137272000: OUT - 001
           137273000: OUT - 011
           137290000: OUT - 001
           137291000: OUT - 011
           137308000: OUT - 001
           137309000: OUT - 011
           137326000: OUT - 001
           137327000: OUT - 011
           137344000: OUT - 001
           137345000: OUT - 011
           137362000: OUT - 001
           137363000: OUT - 011
           137380000: OUT - 001
           137381000: OUT - 011
           137398000: OUT - 001
           137399000: OUT - 011
           137416000: OUT - 001
           137417000: OUT - 011
           137434000: OUT - 001
           137435000: OUT - 011
           137452000: OUT - 001
           137453000: OUT - 011
           137470000: OUT - 001
           137471000: OUT - 011
           137488000: OUT - 001
           137489000: OUT - 011
           137506000: OUT - 001
           137507000: OUT - 011
           137524000: OUT - 001
           137525000: OUT - 011
           137542000: OUT - 001
           137543000: OUT - 011
           137560000: OUT - 001
           137561000: OUT - 011
           137578000: OUT - 001
           137579000: OUT - 011
           137596000: OUT - 001
           137597000: OUT - 011
           137614000: OUT - 001
           137615000: OUT - 011
           137632000: OUT - 001
           137633000: OUT - 011
           137650000: OUT - 001
           137651000: OUT - 011
           137668000: OUT - 001
           137669000: OUT - 011
           137686000: OUT - 001
           137687000: OUT - 011
           137704000: OUT - 001
           137705000: OUT - 011
           137722000: OUT - 001
           137723000: OUT - 011
           137740000: OUT - 001
           137741000: OUT - 011
           137758000: OUT - 001
           137759000: OUT - 011
           137776000: OUT - 001
           137777000: OUT - 011
           137794000: OUT - 001
           137795000: OUT - 011
           137799000: OUT - 111
           137812000: OUT - 101
           137813000: OUT - 111
           137830000: OUT - 101
           137831000: OUT - 111
           137848000: OUT - 101
           137849000: OUT - 111
           137866000: OUT - 101
           137867000: OUT - 111
           137884000: OUT - 101
           137885000: OUT - 111
           137902000: OUT - 101
           137903000: OUT - 111
           137920000: OUT - 101
           137921000: OUT - 111
           137938000: OUT - 101
           137939000: OUT - 111
           137956000: OUT - 101
           137957000: OUT - 111
           137974000: OUT - 101
           137975000: OUT - 111
           137992000: OUT - 101
           137993000: OUT - 111
           138010000: OUT - 101
           138011000: OUT - 111
           138028000: OUT - 101
           138029000: OUT - 111
